ffff42,000044,3,15,000000000000000
e808,0066,2,15,000000000000001
24e831,24e82b,3,15,000000000000010
00c1,00c7,2,15,000000000000011
ff45f0,00007c,3,15,000000000000100
fce8,852c,2,15,000000000000101
e8ad,e83d,2,15,000000000000110
e855,e804,2,15,000000000000111
043e,e86f,2,15,000000000001000
e8a1,004e,2,15,000000000001001
0000c6,8b45e0,3,15,000000000001010
503a,6363,2,15,000000000001011
ffd0,0098,2,15,000000000001100
000b,eb0a,2,15,000000000001101
45a0,e806,2,15,000000000001110
2089,01c2,2,15,000000000001111
ffffc9,000018,3,15,000000000010000
e888,eb92,2,15,000000000010001
e824,e82f,2,15,000000000010010
e8ef,eb18,2,15,000000000010011
000061,000090,3,15,000000000010100
ff4d18,0000f5,3,15,000000000010101
410000,008d9d,3,15,000000000010110
45fb,e81f,2,15,000000000010111
00ec,e8dc,2,15,000000000011000
00a3,e895,2,15,000000000011001
d8c6,ff39,2,15,000000000011010
7466,0360,2,15,000000000011011
e97b,a889,2,15,000000000011100
ffffe8,00000c,3,15,000000000011101
890424e82d,890424e89b,5,15,000000000011110
0005,e80d,2,15,000000000011111
e80b,8d50,2,15,000000000100000
e879,208b,2,15,000000000100001
c075e6,0000dc,3,15,000000000100010
e8ed,e8df,2,15,000000000100011
000065,000091,3,15,000000000100100
890424e881,000000e81e,5,15,000000000100101
890424e8a1,8b450c8944,5,15,000000000100110
0077,003a,2,15,000000000100111
ff8d,eb6f,2,15,000000000101000
e8cd,0020,2,15,000000000101001
8d55,0081,2,15,000000000101010
890424e89f,890424e84c,5,15,000000000101011
ff90,5420,2,15,000000000101100
0006,e85c,2,15,000000000101101
7404,e8cf,2,15,000000000101110
e8c5,e88e,2,15,000000000101111
fcc1,004d,2,15,000000000110000
eb1e,455f,2,15,000000000110001
837df0,8b45d4,3,15,000000000110010
890424e8f6,890424e8e9,5,15,000000000110011
4085,0401,2,15,000000000110100
890424e8da,890424e80a,5,15,000000000110101
08c7442404,08c7442404,5,15,000000000110110
24e8a8,0000cf,3,15,000000000110111
f08b45,00e889,3,15,000000000111000
24e8b6,0000c9,3,15,000000000111001
e08b,0034,2,15,000000000111010
0480,035c,2,15,000000000111011
e8db,744f,2,15,000000000111100
e016,03bc,2,15,000000000111101
f489,7409,2,15,000000000111110
002c,0441,2,15,000000000111111
e81d,eb7f,2,15,000000001000000
eb32,e8a6,2,15,000000001000001
e80a,e800,2,15,000000001000010
00fa,8b8d,2,15,000000001000011
00d0,0053,2,15,000000001000100
890424e879,890424e80e,5,15,000000001000101
890424e80b,890424e81b,5,15,000000001000110
450883,0000bc,3,15,000000001000111
890424e809,890424e827,5,15,000000001001000
4514,044d,2,15,000000001001001
890424e878,890424e83c,5,15,000000001001010
890424e830,890424e84a,5,15,000000001001011
890424e85b,000000e889,5,15,000000001001100
8903,fffd,2,15,000000001001101
e89f,e89b,2,15,000000001001110
1800,e8aa,2,15,000000001001111
e85b,e834,2,15,000000001010000
890424e858,890424e8a5,5,15,000000001010001
e896,8300,2,15,000000001010010
00e823,000051,3,15,000000001010011
000020,00000f,3,15,000000001010100
c1e9,7510,2,15,000000001010101
0090,ffc9,2,15,000000001010110
000001,24e83b,3,15,000000001010111
83e040,ffff81,3,15,000000001011000
8b55e4,00001c,3,15,000000001011001
837ddc,00001a,3,15,000000001011010
e8c6,e832,2,15,000000001011011
e814,036c,2,15,000000001011100
09d0,0029,2,15,000000001011101
7424,e8af,2,15,000000001011110
0068,e8b6,2,15,000000001011111
5500,e899,2,15,000000001100000
0c04,0600,2,15,000000001100001
e987,e8cb,2,15,000000001100010
7416,e08b,2,15,000000001100011
f88d,00fe,2,15,000000001100100
e8d7,45bd,2,15,000000001100101
08ff,ff90,2,15,000000001100110
e8c0,7de0,2,15,000000001100111
8b4508890424e8,000000c7042420,7,15,000000001101000
890424e86d,6246000062,5,15,000000001101001
000000e8da,890424e8ff,5,15,000000001101010
00000030,0100e87e,4,15,000000001101011
088b450c,0100e834,4,15,000000001101100
890424e890,890424e847,5,15,000000001101101
eb12,89cb,2,15,000000001101110
e95e,e89f,2,15,000000001101111
85c075f6,ff83ec04,4,15,000000001110000
ec28,0866,2,15,000000001110001
7442,24d4,2,15,000000001110010
890424e845,1c000000f0,5,15,000000001110011
890424e8e9,890424e8e4,5,15,000000001110100
890424e8a7,000000e850,5,15,000000001110101
0c88,e8a1,2,15,000000001110110
eb55,2052,2,15,000000001110111
f7ea,24b4,2,15,000000001111000
e836,7dc4,2,15,000000001111001
ff8a,eb0e,2,15,000000001111010
000000e4,0100e89a,4,15,000000001111011
6465,6565,2,15,000000001111100
89ca,e8f0,2,15,000000001111101
ff81,0040,2,15,000000001111110
890424e823,e7370000e7,5,15,000000001111111
